Film,Genre,Lead Studio,Audience Score %,Profitability,Rotten Tomatoes %,Worldwide Gross,Year
Scarlet Empire,Animation,20th Century Studios,72.0,0.65,49.0,"$36,230,090.00",2018
Broken Signal,Comedy,New Line Cinema,76.0,3.86,63.0,"$122,084,833.00",2020
Electric Echoes,Drama,Sony Pictures,48.0,1.19,5.0,"$55,751,602.00",2007
Distant Mirage,fantasy  ,Universal Pictures,,1.75,56.0,"$151,010,196.00",2007
Electric Horizon,Romance,Focus Features,47.0,3.77,70.0,"$89,577,356.00",2009
Wild Voyage,Sci-Fi,MGM,81.0,2.95,53.0,"$141,886,363.00",2011
Endless Promise,Horror,Universal Pictures,92.0,9.31,38.0,"$554,619,852.00",2014
Silent Shadows,Animation,Warner Bros.,92.0,3.42,53.0,"$58,457,017.00",2007
Forgotten Voyage,Animation,Walt Disney Studios,60.0,0.67,35.0,"$134,848,242.00",2007
Forgotten Signal,Animation,20th Century Studios,99.0,4.14,44.0,"$249,178,603.00",2017
Shattered Storm,Thriller,20th Century Studios,56.0,0.4,71.0,"$4,985,308.00",2010
Bright Frontier,Thriller,20th Century Studios,59.0,2.46,36.0,"$9,845,736.00",2022
Endless Garden,Thriller,Universal Pictures,53.0,15.21,78.0,"$68,002,989.00",2012
Forgotten Legacy,Romance,Universal Pictures,81.0,2.82,51.0,"$85,839,225.00",2020
Midnight Wanderer,Horror,Walt Disney Studios,77.0,1.33,66.0,"$125,814,263.00",2009
Shattered Signal,Animation,Focus Features,58.0,4.08,39.0,"$217,854,144.00",2020
Hidden Kingdom,Action,Paramount Pictures,78.0,9.92,71.0,"$175,396,350.00",2018
Forgotten Wanderer,Drama,Walt Disney Studios,74.0,3.99,60.0,"$80,446,953.00",2020
Hidden Horizon,Documentary,Sony Pictures,51.0,2.66,,"$145,887,604.00",2016
Bright Kingdom,Sci-Fi,Warner Bros.,64.0,3.76,43.0,"$291,503,847.00",2017
Broken Reverie,Comedy,MGM,75.0,6.51,30.0,"$354,039,408.00",2012
Distant Wanderer,Animation,Walt Disney Studios,63.0,0.79,69.0,"$155,488,376.00",2014
Golden Garden,Thriller,Walt Disney Studios,71.0,4.91,41.0,"$55,880,698.00",2009
Golden Harbor,Action,Lionsgate,49.0,3.91,81.0,"$105,333,837.00",2014
Scarlet Shadows,Animation,MGM,77.0,7.18,50.0,"$6,711,221.00",2013
Endless Reverie,Drama,Universal Pictures,91.0,8.96,49.0,"$10,701,531.00",2019
Midnight Voyage,Romance,MGM,64.0,3.34,36.0,"$26,766,518.00",2016
Crimson Kingdom,animation  ,Lionsgate,61.0,20.22,56.0,"$219,642,278.00",2014
Distant Horizon,Action,Sony Pictures,73.0,8.99,66.0,"$54,611,448.00",2023
Bright Garden,Fantasy,Warner Bros.,33.0,3.66,60.0,"$51,281,588.00",2020
Golden Voyage,Documentary,New Line Cinema,58.0,21.73,99.0,"$61,211,453.00",2015
Broken Kingdom,sci-fi  ,Universal Pictures,79.0,5.08,31.0,"$20,248,930.00",2016
Broken Harbor,Action,Focus Features,60.0,2.89,54.0,"$95,030,319.00",2023
Forgotten Horizon,Action,Sony Pictures,82.0,1.93,52.0,"$447,324,573.00",2011
Quiet Mirage,Horror,20th Century Studios,60.0,3.63,61.0,"$44,024,222.00",2017
Forgotten Garden,Documentary,New Line Cinema,71.0,4.11,70.0,"$47,158,437.00",2009
Distant Legacy,Animation,New Line Cinema,66.0,1.61,57.0,"$79,348,597.00",2018
Frozen Kingdom,Drama,Walt Disney Studios,58.0,4.45,36.0,"$51,698,850.00",2019
Broken Mirage,Comedy,Walt Disney Studios,65.0,3.36,56.0,"$5,656,363.00",2008
Silent Wanderer,Horror,Walt Disney Studios,70.0,2.35,,"$42,777,177.00",2018
Velvet Garden,Horror,Walt Disney Studios,68.0,2.52,65.0,"$20,216,117.00",2018
Quiet Horizon,Romance,Paramount Pictures,70.0,1.26,66.0,"$431,848,854.00",2007
Frozen Horizon,Action,New Line Cinema,77.0,3.65,53.0,"$471,458,313.00",2018
Frozen Odyssey,Sci-Fi,MGM,38.0,10.18,37.0,"$111,218,786.00",2010
Broken Storm,Fantasy,Lionsgate,77.0,2.31,99.0,"$93,048,098.00",2021
Last Shadows,Drama,Focus Features,65.0,5.99,47.0,"$34,758,784.00",2007
Quiet Frontier,Comedy,Focus Features,75.0,9.59,73.0,"$72,391,778.00",2016
Forgotten Odyssey,horror  ,New Line Cinema,51.0,1.88,85.0,"$73,383,051.00",2019
Crimson Promise,romance  ,New Line Cinema,66.0,5.71,30.0,"$39,336,482.00",2023
Golden Wanderer,Sci-Fi,20th Century Studios,74.0,4.52,20.0,"$41,613,911.00",2017
Crimson Harbor,Animation,Focus Features,41.0,3.54,83.0,"$20,669,837.00",2014
Quiet Garden,Drama,Paramount Pictures,92.0,0.78,50.0,"$120,961,464.00",2008
Golden Echoes,Thriller,,78.0,2.61,67.0,"$78,355,466.00",2008
Frozen Shadows,Drama,Sony Pictures,80.0,3.06,56.0,"$182,854,190.00",2015
Electric Empire,Romance,Focus Features,80.0,21.53,59.0,"$82,357,933.00",2022
Golden Legacy,Documentary,Focus Features,67.0,14.53,85.0,"$16,188,216.00",2011
Hidden Odyssey,Drama,Walt Disney Studios,76.0,5.73,67.0,"$210,008,292.00",2016
Velvet Harbor,Comedy,MGM,65.0,0.64,91.0,"$45,741,520.00",2019
Shattered Odyssey,Horror,20th Century Studios,70.0,14.49,79.0,"$86,788,850.00",2011
Crimson Symphony,Animation,20th Century Studios,38.0,1.2,71.0,"$40,865,124.00",2013
Velvet Reverie,Horror,Universal Pictures,70.0,2.16,43.0,"$32,795,198.00",2020
Velvet Echoes,Documentary,Sony Pictures,61.0,6.2,41.0,"$7,884,342.00",2020
Hidden Wanderer,Drama,Walt Disney Studios,69.0,2.69,48.0,"$36,146,440.00",2021
Quiet Wanderer,Documentary,Paramount Pictures,67.0,2.25,45.0,"$85,196,290.00",2010
Quiet Voyage,Comedy,Warner Bros.,82.0,1.26,37.0,"$569,622,604.00",2012
Silent Frontier,Horror,Focus Features,72.0,1.48,24.0,"$25,413,625.00",2019
Hidden Symphony,Thriller,Walt Disney Studios,52.0,2.26,58.0,"$389,037,191.00",2008
Last Garden,Fantasy,Lionsgate,80.0,7.88,90.0,"$21,413,048.00",2009
Frozen Legacy,Comedy,20th Century Studios,99.0,0.41,37.0,"$21,286,931.00",2011
Wild Voyage,Sci-Fi,MGM,81.0,2.95,53.0,"$141,886,363.00",2011
Wild Odyssey,Animation,New Line Cinema,50.0,10.24,75.0,"$19,429,748.00",2023
Scarlet Odyssey,Comedy,Sony Pictures,52.0,1.01,87.0,"$82,092,344.00",2016
Distant Kingdom,Sci-Fi,Warner Bros.,71.0,0.19,60.0,"$8,454,558.00",2007
Shattered Voyage,Fantasy,Focus Features,68.0,3.81,54.0,"$131,505,161.00",2015
Midnight Garden,Sci-Fi,Paramount Pictures,90.0,5.32,48.0,"$107,985,884.00",2018
Wild Wanderer,Animation,MGM,48.0,3.68,66.0,"$53,129,909.00",2023
Midnight Kingdom,Romance,Universal Pictures,49.0,2.06,73.0,"$140,334,634.00",2011
Golden Storm,Documentary,MGM,73.0,2.47,48.0,"$24,541,391.00",2020
Broken Echoes,Horror,Sony Pictures,71.0,31.18,68.0,"$114,037,109.00",2022
Crimson Mirage,Horror,Paramount Pictures,90.0,1.48,72.0,"$177,580,086.00",2011
Shattered Promise,Romance,Lionsgate,58.0,6.2,59.0,"$62,840,095.00",2014
Last Storm,Fantasy,Lionsgate,62.0,2.16,20.0,"$80,502,295.00",2017
Quiet Reverie,Sci-Fi,New Line Cinema,69.0,8.36,65.0,"$936,279,024.00",2013
Scarlet Voyage,Romance,Focus Features,66.0,1.55,87.0,"$9,151,099.00",2020
Midnight Promise,Fantasy,Sony Pictures,84.0,2.24,67.0,"$21,369,150.00",2022
Broken Frontier,Fantasy,New Line Cinema,66.0,0.88,61.0,"$24,267,317.00",2018
Endless Echoes,Thriller,Universal Pictures,64.0,5.91,47.0,"$46,586,864.00",2016
Quiet Promise,thriller  ,20th Century Studios,79.0,0.85,69.0,"$40,392,203.00",2018
Distant Empire,Thriller,Warner Bros.,46.0,0.8,59.0,"$13,154,877.00",2023
Frozen Garden,Drama,Lionsgate,51.0,1.72,69.0,"$83,239,107.00",2020
Quiet Shadows,Documentary,Sony Pictures,69.0,1.91,74.0,"$456,750,589.00",2022
Last Frontier,Horror,Warner Bros.,62.0,8.34,53.0,"$222,190,059.00",2009
Silent Symphony,Animation,20th Century Studios,50.0,0.57,60.0,"$10,836,756.00",2013
Silent Legacy,Action,Sony Pictures,27.0,5.3,24.0,"$185,807,205.00",2019
Forgotten Symphony,Documentary,Warner Bros.,85.0,0.62,84.0,"$39,288,642.00",2007
Midnight Signal,Fantasy,Universal Pictures,43.0,0.23,55.0,"$9,975,053.00",2014
Frozen Wanderer,Sci-Fi,Warner Bros.,57.0,0.36,68.0,"$108,468,541.00",2011
Forgotten Kingdom,Action,Warner Bros.,87.0,2.96,51.0,"$33,907,891.00",2009
Shattered Wanderer,Fantasy,MGM,59.0,1.04,99.0,"$116,459,289.00",2016
Crimson Wanderer,Drama,Paramount Pictures,51.0,20.21,80.0,"$23,487,998.00",2014
Scarlet Garden,Action,Sony Pictures,70.0,3.2,65.0,"$41,843,055.00",2008
Distant Garden,Action,20th Century Studios,65.0,1.64,,"$148,203,839.00",2009
Silent Storm,Horror,Lionsgate,39.0,6.49,64.0,"$161,614,295.00",2015
Crimson Voyage,Horror,Paramount Pictures,30.0,1.94,87.0,"$85,301,674.00",2022
Midnight Horizon,Horror,New Line Cinema,56.0,7.48,62.0,"$365,505,782.00",2011
Last Voyage,drama  ,Sony Pictures,46.0,4.9,52.0,"$785,344,378.00",2021
Forgotten Harbor,Thriller,New Line Cinema,77.0,0.5,41.0,"$354,918,339.00",2019
Broken Horizon,Horror,Paramount Pictures,63.0,2.45,38.0,"$36,305,295.00",2007
Midnight Voyage,Romance,MGM,64.0,3.34,36.0,"$26,766,518.00",2016
Midnight Legacy,Horror,Sony Pictures,,7.45,74.0,"$301,703,613.00",2009
Distant Echoes,Sci-Fi,MGM,65.0,3.28,63.0,"$186,787,676.00",2008
Scarlet Kingdom,Thriller,New Line Cinema,31.0,2.04,68.0,"$62,170,541.00",2020
Quiet Echoes,Documentary,,62.0,2.24,27.0,"$29,840,374.00",2021
Bright Symphony,animation  ,Paramount Pictures,62.0,3.0,82.0,"$210,985,345.00",2011
Frozen Empire,Drama,Universal Pictures,84.0,4.04,55.0,"$37,889,579.00",2008
Bright Signal,Sci-Fi,Sony Pictures,68.0,0.55,79.0,"$16,862,736.00",2023
Last Odyssey,Thriller,Walt Disney Studios,45.0,7.99,30.0,"$29,608,776.00",2008
Bright Promise,thriller  ,Warner Bros.,84.0,6.62,16.0,"$228,003,791.00",2007
Electric Promise,Action,,54.0,16.41,87.0,"$594,665,375.00",2019
Hidden Mirage,Sci-Fi,Paramount Pictures,69.0,1.24,94.0,"$66,588,558.00",2021
Scarlet Storm,Documentary,New Line Cinema,50.0,2.26,38.0,"$36,027,327.00",2017
Bright Empire,Action,New Line Cinema,52.0,4.31,59.0,"$69,651,313.00",2019
Quiet Kingdom,Thriller,MGM,80.0,13.56,51.0,"$148,811,463.00",2018
Wild Empire,Fantasy,Lionsgate,48.0,3.01,72.0,"$177,730,339.00",2018
Bright Kingdom,Sci-Fi,Warner Bros.,64.0,3.76,43.0,"$291,503,847.00",2017
Distant Frontier,Animation,Warner Bros.,69.0,0.6,,"$103,765,118.00",2007
Midnight Echoes,Horror,MGM,65.0,0.7,58.0,"$96,403,959.00",2022
Silent Odyssey,Drama,20th Century Studios,58.0,1.07,46.0,"$66,707,254.00",2008
Shattered Horizon,Horror,New Line Cinema,60.0,7.94,57.0,"$277,674,465.00",2009
Broken Promise,Thriller,MGM,55.0,1.86,60.0,"$62,388,867.00",2009
Bright Voyage,Thriller,MGM,64.0,8.19,62.0,"$24,469,294.00",2022
Shattered Kingdom,Horror,Paramount Pictures,,2.33,27.0,"$275,170,629.00",2020
Midnight Empire,Documentary,Lionsgate,65.0,0.45,26.0,"$9,538,074.00",2015
Scarlet Storm,Documentary,New Line Cinema,50.0,2.26,38.0,"$36,027,327.00",2017
Velvet Storm,Action,Focus Features,60.0,0.75,,"$67,553,842.00",2020
Last Echoes,Horror,Warner Bros.,57.0,6.23,65.0,"$33,280,772.00",2007
Forgotten Mirage,Horror,Lionsgate,71.0,1.9,25.0,"$87,443,685.00",2020
Distant Symphony,Documentary,MGM,93.0,0.94,64.0,"$44,185,671.00",2023
Hidden Garden,horror  ,Sony Pictures,70.0,1.43,84.0,"$16,591,162.00",2017
Bright Reverie,Thriller,Universal Pictures,73.0,1.67,68.0,"$71,350,850.00",2023
Hidden Empire,Fantasy,Focus Features,66.0,2.29,59.0,"$170,433,384.00",2013
Quiet Empire,Animation,Sony Pictures,77.0,4.68,,"$37,431,589.00",2021
Last Kingdom,drama  ,Paramount Pictures,66.0,22.05,71.0,"$166,201,960.00",2007
Shattered Legacy,Animation,MGM,48.0,3.91,59.0,"$96,048,511.00",2019
Last Promise,Comedy,Lionsgate,87.0,1.41,32.0,"$72,678,343.00",2019
Electric Legacy,Action,Lionsgate,64.0,3.66,81.0,"$177,741,118.00",2007
Hidden Echoes,Documentary,Paramount Pictures,57.0,1.69,90.0,"$63,349,061.00",2019
Crimson Shadows,Horror,Warner Bros.,93.0,5.16,60.0,"$115,374,988.00",2021
Endless Horizon,Fantasy,Focus Features,75.0,2.25,27.0,"$49,318,305.00",2019
Shattered Harbor,Romance,Focus Features,71.0,1.56,33.0,"$372,954,003.00",2009
Wild Garden,Comedy,Warner Bros.,48.0,1.55,,"$55,121,771.00",2015
Velvet Promise,Sci-Fi,20th Century Studios,49.0,1.42,64.0,"$29,464,849.00",2007
Golden Frontier,Documentary,,50.0,3.82,96.0,"$159,907,235.00",2012
Forgotten Echoes,Sci-Fi,Sony Pictures,60.0,3.53,77.0,"$6,914,477.00",2016
Distant Reverie,Drama,Focus Features,94.0,1.63,55.0,"$264,570,568.00",2009
Velvet Wanderer,Horror,20th Century Studios,31.0,3.73,46.0,"$319,321,054.00",2019
Forgotten Empire,Horror,Universal Pictures,86.0,0.97,66.0,"$405,272,529.00",2008
Scarlet Reverie,Thriller,Walt Disney Studios,57.0,2.43,8.0,"$295,318,522.00",2015
Midnight Shadows,Action,MGM,70.0,14.19,19.0,"$273,358,029.00",2007
Frozen Voyage,Romance,Walt Disney Studios,81.0,1.93,55.0,"$81,370,868.00",2012
Quiet Symphony,Romance,MGM,,0.56,64.0,"$29,944,073.00",2015
Broken Voyage,Romance,MGM,59.0,1.99,57.0,"$60,812,135.00",2022
Last Reverie,Action,,87.0,4.51,77.0,"$88,402,730.00",2021
Wild Shadows,Thriller,20th Century Studios,,2.39,,"$32,576,542.00",2022
Scarlet Mirage,Fantasy,Focus Features,49.0,1.83,73.0,"$13,116,497.00",2023
Wild Echoes,Thriller,Sony Pictures,65.0,1.31,41.0,"$71,449,475.00",2014
Broken Garden,Animation,Focus Features,75.0,3.19,56.0,"$349,828,493.00",2009
Silent Kingdom,Fantasy,,59.0,17.93,78.0,"$173,987,620.00",2020
Golden Empire,Thriller,New Line Cinema,69.0,3.53,65.0,"$135,428,036.00",2021
Endless Legacy,Sci-Fi,Paramount Pictures,61.0,4.51,66.0,"$61,646,473.00",2010
Last Wanderer,Fantasy,New Line Cinema,72.0,2.79,67.0,"$27,832,611.00",2015
Velvet Mirage,Sci-Fi,Walt Disney Studios,41.0,4.56,58.0,"$115,665,111.00",2017
Electric Kingdom,Animation,Lionsgate,82.0,0.21,76.0,"$55,769,593.00",2013
Bright Storm,documentary  ,Walt Disney Studios,54.0,5.98,50.0,"$25,336,362.00",2020
Velvet Odyssey,Comedy,MGM,46.0,4.3,87.0,"$26,094,407.00",2021
Quiet Harbor,Sci-Fi,Walt Disney Studios,54.0,1.98,30.0,"$42,986,613.00",2019
Golden Reverie,Drama,Sony Pictures,83.0,2.03,61.0,"$188,514,546.00",2015
Broken Odyssey,Fantasy,20th Century Studios,50.0,0.66,62.0,"$62,043,474.00",2012
Quiet Legacy,Sci-Fi,Focus Features,52.0,6.47,65.0,"$287,571,140.00",2007
Velvet Empire,Action,Walt Disney Studios,50.0,0.87,63.0,"$84,603,114.00",2022
Crimson Empire,Animation,Lionsgate,42.0,4.48,35.0,"$80,304,791.00",2019
Forgotten Shadows,Drama,Focus Features,78.0,3.94,52.0,"$88,811,908.00",2015
Electric Symphony,Documentary,Lionsgate,70.0,4.26,57.0,"$103,021,298.00",2007
Scarlet Symphony,Documentary,Warner Bros.,,5.47,43.0,"$76,319,662.00",2021
