film,genre,lead_studio,audience_score_pct,profitability,rotten_tomatoes_pct,worldwide_gross,year
Quiet Frontier,Comedy,Focus Features,75.0,9.59,73.0,72391778.0,2016
Forgotten Odyssey,Horror,New Line Cinema,51.0,1.88,85.0,73383051.0,2019
Crimson Promise,Romance,New Line Cinema,66.0,5.71,30.0,39336482.0,2023
Golden Wanderer,Sci-Fi,20th Century Studios,74.0,4.52,20.0,41613911.0,2017
Crimson Harbor,Animation,Focus Features,41.0,3.54,83.0,20669837.0,2014
Quiet Garden,Drama,Paramount Pictures,92.0,0.78,50.0,120961464.0,2008
Golden Echoes,Thriller,Unknown,78.0,2.61,67.0,78355466.0,2008
Frozen Shadows,Drama,Sony Pictures,80.0,3.06,56.0,182854190.0,2015
Electric Empire,Romance,Focus Features,80.0,21.53,59.0,82357933.0,2022
Golden Legacy,Documentary,Focus Features,67.0,14.53,85.0,16188216.0,2011
Hidden Odyssey,Drama,Walt Disney Studios,76.0,5.73,67.0,210008292.0,2016
Velvet Harbor,Comedy,MGM,65.0,0.64,91.0,45741520.0,2019
Shattered Odyssey,Horror,20th Century Studios,70.0,14.49,79.0,86788850.0,2011
Crimson Symphony,Animation,20th Century Studios,38.0,1.2,71.0,40865124.0,2013
Velvet Reverie,Horror,Universal Pictures,70.0,2.16,43.0,32795198.0,2020
Velvet Echoes,Documentary,Sony Pictures,61.0,6.2,41.0,7884342.0,2020
Hidden Wanderer,Drama,Walt Disney Studios,69.0,2.69,48.0,36146440.0,2021
Quiet Wanderer,Documentary,Paramount Pictures,67.0,2.25,45.0,85196290.0,2010
Quiet Voyage,Comedy,Warner Bros.,82.0,1.26,37.0,569622604.0,2012
Silent Frontier,Horror,Focus Features,72.0,1.48,24.0,25413625.0,2019
Hidden Symphony,Thriller,Walt Disney Studios,52.0,2.26,58.0,389037191.0,2008
Last Garden,Fantasy,Lionsgate,80.0,7.88,90.0,21413048.0,2009
Frozen Legacy,Comedy,20th Century Studios,99.0,0.41,37.0,21286931.0,2011
Wild Odyssey,Animation,New Line Cinema,50.0,10.24,75.0,19429748.0,2023
Scarlet Odyssey,Comedy,Sony Pictures,52.0,1.01,87.0,82092344.0,2016
Distant Kingdom,Sci-Fi,Warner Bros.,71.0,0.19,60.0,8454558.0,2007
Shattered Voyage,Fantasy,Focus Features,68.0,3.81,54.0,131505161.0,2015
Midnight Garden,Sci-Fi,Paramount Pictures,90.0,5.32,48.0,107985884.0,2018
Wild Wanderer,Animation,MGM,48.0,3.68,66.0,53129909.0,2023
Midnight Kingdom,Romance,Universal Pictures,49.0,2.06,73.0,140334634.0,2011
Golden Storm,Documentary,MGM,73.0,2.47,48.0,24541391.0,2020
Broken Echoes,Horror,Sony Pictures,71.0,31.18,68.0,114037109.0,2022
Crimson Mirage,Horror,Paramount Pictures,90.0,1.48,72.0,177580086.0,2011
Shattered Promise,Romance,Lionsgate,58.0,6.2,59.0,62840095.0,2014
Last Storm,Fantasy,Lionsgate,62.0,2.16,20.0,80502295.0,2017
Quiet Reverie,Sci-Fi,New Line Cinema,69.0,8.36,65.0,936279024.0,2013
Scarlet Voyage,Romance,Focus Features,66.0,1.55,87.0,9151099.0,2020
Midnight Promise,Fantasy,Sony Pictures,84.0,2.24,67.0,21369150.0,2022
Broken Frontier,Fantasy,New Line Cinema,66.0,0.88,61.0,24267317.0,2018
Endless Echoes,Thriller,Universal Pictures,64.0,5.91,47.0,46586864.0,2016
Quiet Promise,Thriller,20th Century Studios,79.0,0.85,69.0,40392203.0,2018
Distant Empire,Thriller,Warner Bros.,46.0,0.8,59.0,13154877.0,2023
Frozen Garden,Drama,Lionsgate,51.0,1.72,69.0,83239107.0,2020
Quiet Shadows,Documentary,Sony Pictures,69.0,1.91,74.0,456750589.0,2022
Last Frontier,Horror,Warner Bros.,62.0,8.34,53.0,222190059.0,2009
Silent Symphony,Animation,20th Century Studios,50.0,0.57,60.0,10836756.0,2013
Silent Legacy,Action,Sony Pictures,27.0,5.3,24.0,185807205.0,2019
Forgotten Symphony,Documentary,Warner Bros.,85.0,0.62,84.0,39288642.0,2007
Midnight Signal,Fantasy,Universal Pictures,43.0,0.23,55.0,9975053.0,2014
Frozen Wanderer,Sci-Fi,Warner Bros.,57.0,0.36,68.0,108468541.0,2011
Forgotten Kingdom,Action,Warner Bros.,87.0,2.96,51.0,33907891.0,2009
Shattered Wanderer,Fantasy,MGM,59.0,1.04,99.0,116459289.0,2016
Crimson Wanderer,Drama,Paramount Pictures,51.0,20.21,80.0,23487998.0,2014
Distant Garden,Action,20th Century Studios,65.0,1.64,59.0,148203839.0,2009
Silent Storm,Horror,Lionsgate,39.0,6.49,64.0,161614295.0,2015
Crimson Voyage,Horror,Paramount Pictures,30.0,1.94,87.0,85301674.0,2022
Midnight Horizon,Horror,New Line Cinema,56.0,7.48,62.0,365505782.0,2011
Last Voyage,Drama,Sony Pictures,46.0,4.9,52.0,785344378.0,2021
Forgotten Harbor,Thriller,New Line Cinema,77.0,0.5,41.0,354918339.0,2019
Broken Horizon,Horror,Paramount Pictures,63.0,2.45,38.0,36305295.0,2007
Midnight Legacy,Horror,Sony Pictures,65.0,7.45,74.0,301703613.0,2009
Distant Echoes,Sci-Fi,MGM,65.0,3.28,63.0,186787676.0,2008
Scarlet Kingdom,Thriller,New Line Cinema,31.0,2.04,68.0,62170541.0,2020
Quiet Echoes,Documentary,Unknown,62.0,2.24,27.0,29840374.0,2021
Bright Symphony,Animation,Paramount Pictures,62.0,3.0,82.0,210985345.0,2011
Frozen Empire,Drama,Universal Pictures,84.0,4.04,55.0,37889579.0,2008
Bright Signal,Sci-Fi,Sony Pictures,68.0,0.55,79.0,16862736.0,2023
Last Odyssey,Thriller,Walt Disney Studios,45.0,7.99,30.0,29608776.0,2008
Bright Promise,Thriller,Warner Bros.,84.0,6.62,16.0,228003791.0,2007
Electric Promise,Action,Unknown,54.0,16.41,87.0,594665375.0,2019
Hidden Mirage,Sci-Fi,Paramount Pictures,69.0,1.24,94.0,66588558.0,2021
Scarlet Storm,Documentary,New Line Cinema,50.0,2.26,38.0,36027327.0,2017
Bright Empire,Action,New Line Cinema,52.0,4.31,59.0,69651313.0,2019
Quiet Kingdom,Thriller,MGM,80.0,13.56,51.0,148811463.0,2018
Wild Empire,Fantasy,Lionsgate,48.0,3.01,72.0,177730339.0,2018
Distant Frontier,Animation,Warner Bros.,69.0,0.6,59.0,103765118.0,2007
Midnight Echoes,Horror,MGM,65.0,0.7,58.0,96403959.0,2022
Silent Odyssey,Drama,20th Century Studios,58.0,1.07,46.0,66707254.0,2008
Shattered Horizon,Horror,New Line Cinema,60.0,7.94,57.0,277674465.0,2009
Broken Promise,Thriller,MGM,55.0,1.86,60.0,62388867.0,2009
Bright Voyage,Thriller,MGM,64.0,8.19,62.0,24469294.0,2022
Shattered Kingdom,Horror,Paramount Pictures,65.0,2.33,27.0,275170629.0,2020
Midnight Empire,Documentary,Lionsgate,65.0,0.45,26.0,9538074.0,2015
Velvet Storm,Action,Focus Features,60.0,0.75,59.0,67553842.0,2020
Last Echoes,Horror,Warner Bros.,57.0,6.23,65.0,33280772.0,2007
Forgotten Mirage,Horror,Lionsgate,71.0,1.9,25.0,87443685.0,2020
Distant Symphony,Documentary,MGM,93.0,0.94,64.0,44185671.0,2023
Hidden Garden,Horror,Sony Pictures,70.0,1.43,84.0,16591162.0,2017
Bright Reverie,Thriller,Universal Pictures,73.0,1.67,68.0,71350850.0,2023
Hidden Empire,Fantasy,Focus Features,66.0,2.29,59.0,170433384.0,2013
Quiet Empire,Animation,Sony Pictures,77.0,4.68,59.0,37431589.0,2021
Last Kingdom,Drama,Paramount Pictures,66.0,22.05,71.0,166201960.0,2007
Shattered Legacy,Animation,MGM,48.0,3.91,59.0,96048511.0,2019
Last Promise,Comedy,Lionsgate,87.0,1.41,32.0,72678343.0,2019
Electric Legacy,Action,Lionsgate,64.0,3.66,81.0,177741118.0,2007
Hidden Echoes,Documentary,Paramount Pictures,57.0,1.69,90.0,63349061.0,2019
Crimson Shadows,Horror,Warner Bros.,93.0,5.16,60.0,115374988.0,2021
Endless Horizon,Fantasy,Focus Features,75.0,2.25,27.0,49318305.0,2019
Shattered Harbor,Romance,Focus Features,71.0,1.56,33.0,372954003.0,2009
Wild Garden,Comedy,Warner Bros.,48.0,1.55,59.0,55121771.0,2015
Velvet Promise,Sci-Fi,20th Century Studios,49.0,1.42,64.0,29464849.0,2007
Golden Frontier,Documentary,Unknown,50.0,3.82,96.0,159907235.0,2012
Forgotten Echoes,Sci-Fi,Sony Pictures,60.0,3.53,77.0,6914477.0,2016
Distant Reverie,Drama,Focus Features,94.0,1.63,55.0,264570568.0,2009
Velvet Wanderer,Horror,20th Century Studios,31.0,3.73,46.0,319321054.0,2019
Forgotten Empire,Horror,Universal Pictures,86.0,0.97,66.0,405272529.0,2008
Scarlet Reverie,Thriller,Walt Disney Studios,57.0,2.43,8.0,295318522.0,2015
Midnight Shadows,Action,MGM,70.0,14.19,19.0,273358029.0,2007
Frozen Voyage,Romance,Walt Disney Studios,81.0,1.93,55.0,81370868.0,2012
Quiet Symphony,Romance,MGM,65.0,0.56,64.0,29944073.0,2015
Broken Voyage,Romance,MGM,59.0,1.99,57.0,60812135.0,2022
Last Reverie,Action,Unknown,87.0,4.51,77.0,88402730.0,2021
Wild Shadows,Thriller,20th Century Studios,65.0,2.39,59.0,32576542.0,2022
Scarlet Mirage,Fantasy,Focus Features,49.0,1.83,73.0,13116497.0,2023
Wild Echoes,Thriller,Sony Pictures,65.0,1.31,41.0,71449475.0,2014
Broken Garden,Animation,Focus Features,75.0,3.19,56.0,349828493.0,2009
Silent Kingdom,Fantasy,Unknown,59.0,17.93,78.0,173987620.0,2020
Golden Empire,Thriller,New Line Cinema,69.0,3.53,65.0,135428036.0,2021
Endless Legacy,Sci-Fi,Paramount Pictures,61.0,4.51,66.0,61646473.0,2010
Last Wanderer,Fantasy,New Line Cinema,72.0,2.79,67.0,27832611.0,2015
Velvet Mirage,Sci-Fi,Walt Disney Studios,41.0,4.56,58.0,115665111.0,2017
Electric Kingdom,Animation,Lionsgate,82.0,0.21,76.0,55769593.0,2013
Bright Storm,Documentary,Walt Disney Studios,54.0,5.98,50.0,25336362.0,2020
Velvet Odyssey,Comedy,MGM,46.0,4.3,87.0,26094407.0,2021
Quiet Harbor,Sci-Fi,Walt Disney Studios,54.0,1.98,30.0,42986613.0,2019
Golden Reverie,Drama,Sony Pictures,83.0,2.03,61.0,188514546.0,2015
Broken Odyssey,Fantasy,20th Century Studios,50.0,0.66,62.0,62043474.0,2012
Quiet Legacy,Sci-Fi,Focus Features,52.0,6.47,65.0,287571140.0,2007
Velvet Empire,Action,Walt Disney Studios,50.0,0.87,63.0,84603114.0,2022
Crimson Empire,Animation,Lionsgate,42.0,4.48,35.0,80304791.0,2019
Forgotten Shadows,Drama,Focus Features,78.0,3.94,52.0,88811908.0,2015
Electric Symphony,Documentary,Lionsgate,70.0,4.26,57.0,103021298.0,2007
Scarlet Symphony,Documentary,Warner Bros.,65.0,5.47,43.0,76319662.0,2021
